task_id,NL,NL+G,NL+A,NL+R,A2A,A2A+G,A2A+A,A2A+R,SKT,SKT+G,SKT+A,SKT+R
Antisymmetric,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL
Circular,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Connex,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL
Cycle,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
DAG,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
Function,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
Functional,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
Irreflexive,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
Reflexive,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
Symmetric,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Transitive,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
graph/complete,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
graph/oriented,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
graph/stronglyConnected,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
graph/transitive,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS
graph/undirected,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
graph/weaklyConnected,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv10,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv5,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv6,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv7,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv8,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
production_line/inv9,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
social_network/inv1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
social_network/inv2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
social_network/inv3,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
social_network/inv4,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
social_network/inv5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
social_network/inv6,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
social_network/inv7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
social_network/inv8,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv10,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv7,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
trash/inv9,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
